,data,0
320,1382491338164806812882922574911577797862840133015,73
321,1383401637874929674949001105767498395854416240518,1
322,1385701567966231975032831715622429102264594744873,4142
323,1387472843999148565081474470160858512579976771063,9
324,1388823880759702633690462906552822517975371464723,93
325,1389689674338102974451358920872293378534466023758,9937
326,1390535745739396506223087178220901096857590076411,218
327,1391234956585573518827397411029422386543934825013,7
328,139373018711470798452812568802314665511414822763,10
329,1395358164602866160447409926469619622303008487578,2402
330,1395605066932305122190363090540214439003734125588,209
331,1395905841822835577963711986719372985240163548491,76
332,139680417131617566800248126863146942650173816102,7
333,1397757577106089897597641534576633740058073077652,4920
334,1400516995457628312304203068209937151822623236071,1681
335,1400556537092443302237537448757978817176621483782,70
336,1403753604827098532252845643285049582068595163492,61
337,1404195128391788962743139509656883073422788778932,1
338,1405376287826736105981691274516328507289585135615,76
339,1405961843882766599836917062130009130222196243456,123
340,1406188371104585886575974722419345774867166631157,16
341,1409561844218848536530075296471868924670120392735,9911
342,140978948395777320696682843783524671772552791883,59
343,1410433029302584204369947885639029172731371931127,113
344,1411797195047641848245600323843664062446068118799,4
345,1412413497061721185744485362478609018970413211353,6
346,1413646351881042391476419824722934210321978623835,4
347,1414099419182646291283843951536328190801659050885,3359
348,1416030270720094473326996927955505127262106969040,1
349,1416964978200663747273975779237462294733337009857,9230
350,1420188757687428156646263088072777303519512238865,7
351,1420713486815112840094448508837478376663459318985,3248
352,1421515576103999421012053796988415610939621137630,1862
353,1422275958026366655619672208733254454150750616300,38
354,1423526271129992327830312966267960754484714719076,505
355,1423828881688232329299780361801138765841326513783,374
356,142478726687202786982359034893036260242252349861,12
357,1425754437273682039941636447742680503322329422944,7
358,1426474256845475236891693755790602223881999753565,10
359,142673936434800263279584517224874135850541713610,10
360,1428410756645278891960015487991391106783731638880,2912
361,1431359980098172840054691174952284185950228915004,6
362,1431511707010625543277963470701898124066942616974,79
363,1431528918839144424785896879932633061623691881577,126
364,1432660161017854960878465661991456328399316731055,756
365,1433871616601239143635683753470942487455568077808,9914
366,1434476236321725551293108049041701026041619215722,4404
367,1435238251706262264929269625798554579566156473435,33
368,1436587479573357193996252854444565925809848601952,928
369,1437164979635970036661571603065011671195295945863,20
370,1438775972179880134889062678067346400708261633711,1117
371,1438916955992509006881437841010220374348277348762,990
372,1441543915156583289338054670014908190457972794914,9
373,1441670276092189624507779309093135744015872791277,32
374,1443846140373206842977100417462535120656513978576,1267
375,1446616901494331508391029569096581339837104221192,698
376,1447047894532334838658395013459340753752080689618,9730
377,1450535204154916434389519731597764989499620947164,9
378,145154632270603509353038474489949990375279905222,2069
379,1451599141367649895422380328730890773194541443032,17
380,1451604717714344807909461461301027203950858477297,11
381,1451880326566158591222605731013618618701363635565,23
382,1452898717777897113191163702455251999742195151736,25
383,1454945408209109167713203431103282417945073047692,1312
384,1457167686048833464782555697748481995375211420092,43
385,1458774774689280271590031333997043289476013201934,141
386,1458880893852756675881172317747503065980342110528,25
387,1460472045637485350063091486155260807314658411609,7
388,1460505457649286650538897033620715866789489550582,74
389,147181652407347962566745568402822502073281695212,6
390,147206711953559833530580126049299818000588543841,223
391,148459772050461697379202483560040086375682846540,635
392,149042177495536741897969064661916699859252128073,54
393,150828769631275943895295649060975729688355338264,53
394,151968160595675313876009688558236479911667289789,87
395,153739011166161183535644436640787722145785833048,3328
396,153932759332142704477799477746818716860920727246,360
397,154384237485149234921455272935151072736585903868,88
398,15486883350327291173137034661860986846801974417,8596
399,155933264895188799876506122329137953909067662448,209
400,156572287291749741892420411182042600677883028980,3021
401,157406655089019348652329033723364341844162123232,183
402,158158057611347397153654325544759365738703915674,6846
403,158830037394425814643793460159712815882818902535,390
404,15992149750957371097165561240269482741117502820,2
405,16036826475153640630971985004549925780459544081,30
406,162570573301860365576512599364189469648737666630,2880
407,165478803000903553837203741535579823606154731241,5131
408,165654361743486293142692627049029233374760199084,17
409,165745276935322164767470997031744796752753318833,47
410,167389195547645721850597607681900208203138375140,17
411,168225179250415346225173538059282112631724935619,453
412,168338432442165750860744984873964640252350549940,294
413,170764715874513299733832063194312272009908974090,968
414,170954778570569209151806633514247044935725181491,26
415,173467444570816975205532981631355232246622308734,461
416,176199814804701806882870160539815551605717880881,13
417,177685704521659473121545135081162705027612274719,395
418,179382840314540092508809286992349706810242550840,7
419,180267195391473217569547767713199751681329257171,668
420,181197819953613767961095881915167213152574451364,6
421,181535014155958695826265378903669679861113071684,212
422,181596508429245583360580869850291219093807282737,12
423,18283186751281556087348298231522604775574943717,34
424,183653761054435953295208405207089362814667294387,7
425,18538860618071476813402440981621875538981085009,8
426,186635762414412886239337904136498221245625875734,869
427,18823642112536312443450670819023788258745250067,2
428,189024852873558106750091363795510911258088596388,347
429,189824126146852893015007411008665479179168494143,71
430,190056723257374670698125651272888764496545527340,5231
431,190106171559845922905422627813597454476567765693,17
432,190266204636273387212796444512869799399215551975,191
433,191326457699278004584475112485361406262622993659,1252
434,192993333696988307140542210533762543794657578932,7
435,193986942141328281483153116274892018647831733135,34
436,194494256825565625462863207464032578177500040612,670
437,195284432837190674167490581250262554032063331498,50
438,195403384735828571752329858113705192778072562800,64
439,195596835717378098034844795288435845800402136371,130
440,196398585229040100671688911040413650040582059603,4656
441,196532743732755796049520250360721260835342785507,2
442,198722680570887323220235725101622581811310048106,27
443,199957886059935738486276847946339858621329223603,2212
444,201814006287076706961235933036015842404830039313,9914
445,202167449297430685038104459613450087108939359842,167
446,202381960827404805597858952293623477370472953567,39
447,203066905706990510994759443144884981563141886970,13
448,204424330230090478782831763850483303437703077866,971
449,206315907627802499641788602252784898518695716981,107
450,207988970306729453611832138502522123903253607065,1807
451,208757793646762387656664117532775464111299573675,4
452,209979804979919264579565115718414117875186323814,5
453,210327362412861362204544921175437346621191987285,1848
454,211750875286929235497172704367279733656523467989,1608
455,212278704655022976158230905343714235466831078958,106
456,21306443011521637114147779469378028784547737827,364
457,214084019797097876680712517174654001192418898665,403
458,214128987222392080898418252687723479586013163261,1474
459,215858434769473352404842886713073418581476046897,3398
460,21732598253781000755126566663694253234442271173,117
461,21802015128178781513502487868315129912065177933,6
462,218135963685392239483545373311062368953476149337,5
463,218174586903286733920327019063114796282651981293,114
464,218195138044166255100168356617961955554076868020,2218
465,218266322047058041263860830744233698348751150229,3
466,219718316424937384063710855785629090675868019545,327
467,221711282520233531710992350141376304316254151509,9
468,222565269688106593692371995070168969329421298082,276
469,224648143866725613747714344128177550220565762364,25
470,225144226508287461477892683092814107062144200771,4
471,225187409798751638264044018594047107778494435393,21
472,225843434461236815153806306617303851877632958852,1877
473,22597658558304229233219506598274457204935970521,17
474,22814906679770351878442354301103970652070618083,40
475,228555970944956424252167349912204826199483288153,9
476,228651953311080689087441138163368941770753089109,2526
477,228677765726170235180796702866988255019335478307,4
478,231211236187851420269624726022038004651299545111,9949
479,23157288886605215595547488261341862261049898122,2
480,232350429897563650877289337536806684514343398532,70
481,232497182018476006616824018579020039547964395999,163
482,23338709165134883997954600083640900200599205545,380
483,233781316086179319608543908884443574888830111000,24
484,234235402114498786509595076798464439913989669284,25
485,234607225326933063466937535187205532005611333124,62
486,23462124628691766886986522619174686361344280947,1469
487,234650085785356972579703678481693176092338858913,6
488,235169772442322057865853680445417829275102972846,9
489,238753995243000600689946413143182345126517109592,952
490,23896243891007077803561599317237092085856916573,22
491,239021259887742318205082639421651496327902502704,11
492,239248619060747837502608227428524947308755475827,325
493,240805169605744962354784157962755220593795707981,393
494,241509802225026180232696887043432891879285141377,6354
495,24295620988050199427015907922505737338559148907,330
496,247345713345758814780921852384123493760255223156,10036
497,247460883029487672356218696988906374470507468519,41
498,248685550954778285300392059799422480864435180371,383
499,249949223470296260804704344731806070813471317938,28
500,250222284951401700399082963126738072357986380593,23
501,255757142173727105449635983259998556862474449505,44
502,257549028459389875721183115150962691388115156453,88
503,26056448466275954947717435019610545325455348318,24
504,260647367776201703905872526201909833043678959020,8888
505,261563861799904906081768670228149774906711436859,38
506,261695537085161083847195288012435444461767385924,3925
507,262844242371389564439445249005869184783462185400,17
508,263588386979034443399183361132053396971429217306,6
509,264183697675510778230749923902802536772088991464,13
510,264277233947407098108473359518454339793382935346,4
511,264884654746932044622376409123428844340995357116,2205
512,265233319674964283131217189435706609197781839013,14
513,265732588768939071479671776759420815301550732064,1070
514,271180414906648154389564140122928233850566183717,7880
515,271577855985203539191940346947852801835198739985,10
516,272463164817907364402686030589503255375290521558,79
517,273687758445648048028265001215853359556119232478,9
518,274852712345129623811610093636388997712154621736,13
519,276030368570740747571351708644499916090233367176,12
520,276298474735390329057304333211094163884922214386,23
521,276429896166680637096706731528389309920152615298,1133
522,276665608166371531255825183526666938645758160452,2
523,277404378078311609647619409543616480007120204993,5827
524,278055597574200108284825968365792540919252506194,39
525,28102619283282484298566618643198090356564808080,5
526,281066874991549008691483749289353257560673943566,4326
527,284426968294981472735396141567380885548397243716,14
528,284695464909635017012400162097046591057618245841,48
529,285074157479245779461331270519289812302432520033,1191
530,285830647857378302573434280083122015615580646640,1539
531,286477958629354644240382983165105459684012973074,4
532,286544793537911285056366863232645098837921445805,17
533,289611504127665064514655443100668700132255069508,4325
534,291060423885599928265285353863806648413885114556,61
535,291475590109918618822969513065130742722304905221,8110
536,294988906728130143679677445021518765667472014965,63
537,296021463966575068084955109742333093031492577543,877
538,296727309524094611070997586084492337311192097497,4627
539,296828643425255692568945154735108027632802389441,14
540,297281720928528356634307875118448092215961384925,313
541,297368984758176754418720838245614432762261725545,54
542,297893119267827662056150302727804205264036289095,413
543,298857064015685167542480067062967083394277900399,124
544,29953773695501941026979984373304678098684372588,659
545,300714748136597986085830788440845370659383725857,1342
546,303183770080147756655098975430228854275290674188,72
547,304337064095291462436382663505671866835387092626,261
548,306466993614921258951385635623604866493363169230,2161
549,307275599618538840889596308945035036511914559347,719
550,308626308507247350185197976216454969941723255436,9773
551,309065512047700683498839619223409206788001330809,545
552,31057650342769539113415006772222008916649470449,15
553,312552887292522982268930954432717746123856773106,29
554,314473524168633714234629722510139885892498372157,659
555,316713551791963663250842349787473425930714268078,2900
556,319565364796498840111377242465659092407590682260,53
557,319641807370867819888118322049743920624660206888,613
558,319680366968578223024544634766891982546671472838,104
559,320278693662122128778591665212587220158564734579,3
560,320689337897423160526585275069513670785412432761,790
561,32087095841049873793637347032835720587850916969,12
562,321228157737775092795834832856216390907962861745,44
563,322416675618481088806182142865232168376314460666,4
564,32285602741345116474532509480762496656617054116,9753
565,326552728736234827281405173522663945691198279873,34
566,327344272439661902171103125625934763389452666840,1344
567,327351991781451284467266776799141026935662020481,416
568,327539093280180968649918450283590660170462121881,2167
569,328444484223159685048127576711819825462827383105,29
570,328606451752138969891567448953624612863561558586,195
571,32996186141112981461617529805674952329697760155,47
572,331967543011541002748169276874582476805231010448,251
573,332106715497290363193805473684065786378040935211,3199
574,333016527148567453918937735779873732404228559404,283
575,333144567812676964634745910347070135504562110992,1627
576,333279449837711430202140306441420859121694829514,7
577,333989295250030961873431781696074688235952545044,220
578,334037615646915262432063754984277147256230870226,437
579,335325658739217315286532465734041253251409248143,15
580,336031753362543602584434343386448452275972614281,941
581,337433670718006690019021137203635641409918601263,453
582,340273957079969887471920021534566014959610175063,48
583,340646316672952672606597526227263060213459466652,310
584,34195170681394370670589531641549381466108040913,24
585,343013125220104577959338372763212589012280970123,1490
586,343235203909921670060480047918687919920183017672,10069
587,34434595279511518083726387753915770251732640336,1206
588,345327236644549775241426052379430096668256093800,11
589,346607808767843239171088493158333567968746364389,4571
590,34667567229427619806846495741860988606192646405,135
591,346806429232437994526273766139461254557918213931,9664
592,348153435044510542861437939543415551352237971903,574
593,348187368727858406506090880680082400613926259625,1076
594,351073281746427159467673004096794782225829803893,127
595,354046165538992676530905145125777294425716734052,10
596,356739526519392829898840117880661209822151709056,79
597,358816507251662777218508239719334750171723832699,1614
598,359856753070958372964215514324602440590963223882,17
599,359890963972227089039120392694901801329874085363,56
600,359925562007937593554092381050281179581267320267,109
601,360493806449577152321110182733422037103675448361,7
602,361721153799464063592464478326481422896991968576,6
603,362179181602735137910272741762086146656529814472,40
604,3638183922704851179961913325497131369701577408,756
605,365137721483103705303517743193529074078525351265,4031
606,366569212528562308763962914092659423270734357545,5142
607,368354737302006716883576139458435349783145954615,7
608,372243540507114627887038394462467708906309199752,10090
609,373712642272403223381391639924137772525826212560,7
